AIX,Linux,"OS_compatibility","SPL root search",Solaris,description,"formula (or field name if not evaluated)","is_evaluated","long_description","main_type","nmon_section","perf_item",sourcetype,unity
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=NETPACKET",true,"Inbound / Outbound trafic per interface",value,false,"Inbound (read devices) and outbound (write devices) number of Net packets per interface","Performance Data",NETPACKET,"NETWORK TRAFFIC","sourcetype=nmon_data","Packets per sec"
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=NETPACKET",true,"Name of Network Interface",device,false,"Name of the network interfaces, for inbound intrfaces (read devices) and outbound interfaces (write devices)","Performance Data",NETPACKET,"NETWORK TRAFFIC","sourcetype=nmon_data","N/A"
true,false,"AIX, Solaris","eventtype=nmon:performance sourcetype=nmon_data type=NETERROR",true,"Number of packets in error per interface",value,false,"Net packets in error per interfaceﾠ: Inbound / Outbound error, Collision error","Performance Data",NETERROR,"NETWORK TRAFFIC","sourcetype=nmon_data","Packets per sec"
true,false,"AIX, Solaris","eventtype=nmon:performance sourcetype=nmon_data type=NETERROR",true,"Name of Network Interface",device,false,"Name of the network interfaces, for inbound intrfaces (read devices) and outbound interfaces (write devices)","Performance Data",NETERROR,"NETWORK TRAFFIC","sourcetype=nmon_data","N/A"
true,true,"AIX, Linux","eventtype=nmon:performance sourcetype=nmon_data type=NFSSVRV2",false,"NFS SERVER V2 statistics",various,false,"Various statistics for NFS SERVER V2","Performance Data",NFSSVRV2,"NETWORK NFS","sourcetype=nmon_data",various
true,true,"AIX, Linux","eventtype=nmon:performance sourcetype=nmon_data type=NFSSVRV3",false,"NFS SERVER V3 statistics",various,false,"Various statistics for NFS SERVER V3","Performance Data",NFSSVRV3,"NETWORK NFS","sourcetype=nmon_data",various
true,true,"AIX, Linux","eventtype=nmon:performance sourcetype=nmon_data type=NFSSVRV4",false,"NFS SERVER V4 statistics",various,false,"Various statistics for NFS SERVER V4","Performance Data",NFSSVRV4,"NETWORK NFS","sourcetype=nmon_data",various
true,true,"AIX, Linux","eventtype=nmon:performance sourcetype=nmon_data type=NFSCLIV2",false,"NFS CLIENT V2 statistics",various,false,"Various statistics for NFS CLIENT V2","Performance Data",NFSCLIV2,"NETWORK NFS","sourcetype=nmon_data",various
true,true,"AIX, Linux","eventtype=nmon:performance sourcetype=nmon_data type=NFSCLIV3",false,"NFS CLIENT V3 statistics",various,false,"Various statistics for NFS CLIENT V2","Performance Data",NFSCLIV3,"NETWORK NFS","sourcetype=nmon_data",various
true,true,"AIX, Linux","eventtype=nmon:performance sourcetype=nmon_data type=NFSCLIV4",false,"NFS CLIENT V4 statistics",various,false,"Various statistics for NFS CLIENT V2","Performance Data",NFSCLIV4,"NETWORK NFS","sourcetype=nmon_data",various
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"CPU Core usage of main processes","usage per core",true,"CPU usage per core of main running processes","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",various
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"Memory usage of main processes",various,true,"Memory usage of main running processes","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",various
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The ID of the process.",pid,false,"The ID of the process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",id
