hostname,OStype,"AIX_Machine_SerialNumber","AIX_virtualcpus","AIX_logicalcores","AIX_entitled","AIX_LEVEL","AIX_processor_mode","AIX_processor_clockspeed","AIX_cpu_type","AIX_kernel_type","AIX_plateform_firmware_level","AIX_PoolID","AIX_system_installed_CPUs","AIX_system_active_CPUs","AIX_PoolCPUs","AIX_memory_MB","AIX_pagingspace_MB","Linux_memory_MB","Linux_swap_MB","Linux_distribution","Linux_vendor","Linux_kernelversion","Solaris_version","Solaris_sunOS_version","Solaris_processor_clockspeed","Solaris_physical_memory_MB",Processor,"cpu_cores","nmon_version","uptime_seconds","uptime_duration","system_startup_date","reporting_date",OSversion,"Physical_mem_MB","Virtual_mem_MB"
SPU00498,AIX,833BA34,1,2,"0.10","6.1.9.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,3072,8704,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",26355600,"305+01:00:00","08/29/2015 00:00","06/19/2016 00:00","6.1.9.16",3072,8704
SPU00A16,AIX,06E9B1T,2,8,"0.60","6.1.8.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,4096,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",2941200,"34+01:00:00","05/26/2016 00:00","06/19/2016 00:00","6.1.8.16",4096,8704
SPU00A26,AIX,06E9B1T,2,8,"0.20","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,2048,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",3546000,"41+01:00:00","05/19/2016 00:00","06/19/2016 00:00","6.1.9.16",2048,8704
SPU00A49,AIX,06E9B1T,2,8,"0.20","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8",12e,,,,"06/19/2016 00:00","6.1.9.16",,8704
SPU00C4C,AIX,219840V,1,4,"1.00","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,12288,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",14086800,"163+01:00:00","01/17/2016 23:00","06/19/2016 00:00","6.1.9.16",12288,8704
SPU00C4G,AIX,06D939P,1,4,"0.10","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,38912,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",38912,8704
SPU00C4K,AIX,06D939P,3,12,"1.70","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,54272,11776,,,,Undeterminated,,,,,,"PowerPC_POWER7","3 / 12","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",54272,11776
SPU00C4R,AIX,06D939P,2,8,"1.20","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,14336,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",14336,8704
SPU00C4S,AIX,06D939P,2,8,"1.20","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,14336,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",14336,8704
SPU00CB2,AIX,219840V,4,16,"1.00","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,11264,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","4 / 16","TOPAS-NMON",15987600,"185+01:00:00","12/26/2015 23:00","06/19/2016 00:00","6.1.9.16",11264,8704
SPU00G45,AIX,219840V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,4096,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",15987600,"185+01:00:00","12/26/2015 23:00","06/19/2016 00:00","6.1.9.16",4096,4608
