"index","sourcetype","main_type","perf_item","nmon_section","unity","description","long_description","formula (or field name if not evaluated)","is_evaluated","OS_compatibility","AIX","Linux","Solaris","SPL root search"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","Nbr","lpar_pool_vp_usage: CPU usage in virtual CPUs of the Pool the partition belongs to (PowerLinux only)","lpar_pool_vp_usage: CPU usage in virtual CPUs of the Pool the partition belongs to (PowerLinux only)","round((system_active_processors-pool_idle_time),3)","false","Linux","false","true","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","%","lpar_pool_vp_usage_PCT: CPU percentage usage of the Pool the partition belongs to (PowerLinux only)","lpar_pool_vp_usage_PCT: CPU percentage usage of the Pool the partition belongs to (PowerLinux only)","round((system_active_processors-pool_idle_time)/system_active_processors*100,2)","false","Linux","false","true","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","POOLS","Viirtual Processors (VP)","entitled_pool_capacity","Entitled capacity of the Pool that the lpar belongs to","entitled_pool_capacity","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=POOLS"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","POOLS","Viirtual Processors (VP)","max_pool_capacity","Max capacity of the Pool that the lpar belongs to","max_pool_capacity","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=POOLS"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","POOLS","Viirtual Processors (VP)","pool_busy_time","Pool CPU usage in Virtual CPUs","pool_busy_time","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=POOLS"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","POOLS","id","Pool_id","POOL Identifier that the lpar belongs to (the DefaultPool will always have a 0 ID)","Pool_id","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=POOLS"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","POOLS","Viirtual Processors (VP)","pool_max_time","pool_max_time","pool_max_time","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=POOLS"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","POOLS","Viirtual Processors (VP)","shcpu_busy_time","shcpu_busy_time","shcpu_busy_time","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=POOLS"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","POOLS","Viirtual Processors (VP)","shcpu_tot_time","shcpu_tot_time","shcpu_tot_time","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=POOLS"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","POOLS","Viirtual Processors (VP)","shcpus_in_sys","shcpus_in_sys","shcpus_in_sys","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=POOLS"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK TRAFFIC","NET","Kbps","Inbound / Outbound trafic per interface","inbound (read devices) and outbound (write devices) trafic per interfaces in Kbps","value","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=NET"
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK TRAFFIC","NET","device","Name of Network Interface","Name of the network interfaces, for inbound intrfaces (read devices) and outbound interfaces (write devices)","device","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=NET"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK TRAFFIC","NETPACKET","Packets per sec","Inbound / Outbound trafic per interface","Inbound (read devices) and outbound (write devices) number of Net packets per interface","value","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=NETPACKET"
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK TRAFFIC","NETPACKET","N/A","Name of Network Interface","Name of the network interfaces, for inbound intrfaces (read devices) and outbound interfaces (write devices)","device","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=NETPACKET"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK TRAFFIC","NETERROR","Packets per sec","Number of packets in error per interface","Net packets in error per interfaceﾠ: Inbound / Outbound error, Collision error","value","false","AIX, Solaris","true","false","true","eventtype=nmon:performance sourcetype=nmon_data type=NETERROR"
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK TRAFFIC","NETERROR","N/A","Name of Network Interface","Name of the network interfaces, for inbound intrfaces (read devices) and outbound interfaces (write devices)","device","false","AIX, Solaris","true","false","true","eventtype=nmon:performance sourcetype=nmon_data type=NETERROR"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK NFS","NFSSVRV2","various","NFS SERVER V2 statistics","Various statistics for NFS SERVER V2","various","false","AIX, Linux","true","true","false","eventtype=nmon:performance sourcetype=nmon_data type=NFSSVRV2"
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK NFS","NFSSVRV3","various","NFS SERVER V3 statistics","Various statistics for NFS SERVER V3","various","false","AIX, Linux","true","true","false","eventtype=nmon:performance sourcetype=nmon_data type=NFSSVRV3"
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK NFS","NFSSVRV4","various","NFS SERVER V4 statistics","Various statistics for NFS SERVER V4","various","false","AIX, Linux","true","true","false","eventtype=nmon:performance sourcetype=nmon_data type=NFSSVRV4"
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK NFS","NFSCLIV2","various","NFS CLIENT V2 statistics","Various statistics for NFS CLIENT V2","various","false","AIX, Linux","true","true","false","eventtype=nmon:performance sourcetype=nmon_data type=NFSCLIV2"
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK NFS","NFSCLIV3","various","NFS CLIENT V3 statistics","Various statistics for NFS CLIENT V2","various","false","AIX, Linux","true","true","false","eventtype=nmon:performance sourcetype=nmon_data type=NFSCLIV3"
"index=nmon","sourcetype=nmon_data","Performance Data","NETWORK NFS","NFSCLIV4","various","NFS CLIENT V4 statistics","Various statistics for NFS CLIENT V2","various","false","AIX, Linux","true","true","false","eventtype=nmon:performance sourcetype=nmon_data type=NFSCLIV4"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","various","CPU Core usage of main processes","CPU usage per core of main running processes","usage per core","true","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","various","Memory usage of main processes","Memory usage of main running processes","various","true","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
,,,,,,,,,,,,,,
